#### Args: [-M Quality --base . --name qualityComparisonFine --pin ../ConformalLabData/convergence/regular01.obj --tre 0.5 --tim 0.866025403784437 --num 10000 --extra 200 --nopt 150 --noptrand] ####
#### Series class: class de.varylab.discreteconformal.convergence.ConvergenceQuality ####
#### Error output file ./qualityComparisonFine.dat ####
#### Vertex data from ../ConformalLabData/convergence/regular01.obj ####
#### Branch indices: [0, 1, 2, 3] ####
#### Expected tau: (0.49999999999999856+0.8660254037844395i) ####
#### Measure exponent: 1.0 ####
#### index[1]	distErr[2]	absErr[3]	argErr[4]	reErr[5]	imErr[6]	re[7]	im[8]	MaxCrossRatio	MeanCrossRatio	SumCrossRatio	MaxMultiRatio	MeanMultiRatio	SumMultiRatio	MaxCircleRadius	MeanCircleRadius	SumCircleRadius ####
10	0.0017291717416882864	0.0011597098724662747	0.0012818746081630916	-5.319794471512207E-4	0.0016453062876139457	0.49946802055284734	0.8676707100720534	0.20548098751198118	0.02285628554194387	18.467878717890645	0.3446815746867842	0.019532769842716756	15.78247803291514	0.0814181272446901	0.031189771898303305	25.20133569382907
11	0.0012857491371422248	9.683739773560518E-4	8.454055944253636E-4	-2.488434839295617E-4	0.0012614387675062844	0.499751156516069	0.8672868425519458	0.2247130583849486	0.030029494417835846	24.263831489611363	0.2951268566578509	0.02610992100745324	21.09681617402222	0.07984517614584676	0.03136803752832904	25.345374322889864
12	0.002328333511158654	0.0017623552825494215	0.001520252657875476	-4.382983599575674E-4	0.0022867075647845514	0.499561701640041	0.868312111349224	0.3395515858293894	0.051820335445628606	41.87083104006791	0.4310631758389818	0.04485677110756598	36.24427105491331	0.08638804464671072	0.03213852672840486	25.967929596551127
13	9.391565483044644E-4	5.90892185491354E-4	7.297580374736601E-4	-3.3704950291812974E-4	8.765914982509226E-4	0.4996629504970804	0.8669019952826904	0.3014813493795012	0.03337536220706929	26.967292663311987	0.42685662034081195	0.02614733359106582	21.127045541581182	0.08056277557695217	0.031207207574594723	25.215423720272536
14	7.890025988713721E-4	6.758297479732001E-4	4.0702247135082636E-4	-1.4856585632716524E-5	7.888627148554539E-4	0.49998514341436584	0.8668142664992949	0.19964851197247158	0.02971933144132154	24.013219804587806	0.3384202312250162	0.019808259119935463	16.005073368907855	0.07399536126772996	0.03114782234792965	25.167440457127157
15	0.003952137391740414	0.0012684728391860745	0.003740672891406893	-0.0026128855990720234	0.002965167585374351	0.49738711440092653	0.8689905713698138	0.5683220307698058	0.08079999511616319	65.28639605385986	0.5641663796748935	0.0783473563536536	63.30466393375211	0.09044873462305436	0.032494191072785186	26.25530638681043
16	0.002343813306895348	0.0012116058097251248	0.002005143920829733	-0.0011338118320637358	0.0020513243397990433	0.4988661881679348	0.8680767281242385	0.3938851986297578	0.0447400255213078	36.1499406212167	0.34436097799620824	0.04396664796541203	35.52505155605292	0.08330300845004314	0.03171140474866986	25.62281503692525
17	0.0012534989104190876	8.126802154746482E-4	9.539763405304047E-4	-4.2072662513559234E-4	0.001180783055994561	0.49957927337486296	0.867206186840434	0.2186155318161518	0.03021055675178748	24.410129855444282	0.381990794945976	0.025637341960234303	20.714972303869317	0.0797825300382923	0.031437279706548436	25.40132200289114
18	0.002108294229988437	1.7088214031124593E-4	0.002101178488999489	-0.0017356464157558538	0.0011968442169624227	0.4982643535842427	0.8672222480014019	0.3051974846023191	0.0468676035798179	37.86902369249287	0.5491312042205543	0.042348806496938216	34.21783564952608	0.08780111469595439	0.0318475836172393	25.732847562729354
19	0.0014940907425402383	0.0012178771749229433	8.649689010724604E-4	-1.4124592498776511E-4	0.0014873993194898238	0.4998587540750108	0.8675128031039293	0.2447609670311317	0.0269806764157838	21.80038654395331	0.4590837960076528	0.020216856214183728	16.335219821060452	0.08088780813343269	0.031329085331314406	25.313900947702038
